Company,Year,Total Liabilities Growth %,Borrowings Growth %,Equity Growth %,Total Assets Growth %,Operating Profit Growth %,Net Profit Growth %,Operating Cash Flow Growth %
adani-ports,2004,,,,,,,
adani-ports,2005,50.66,135.86,13.65,38.73,202.83,2157.3,-32.46
adani-ports,2006,43.68,59.13,12.47,29.61,29.52,8.71,-1.0
adani-ports,2007,33.96,34.04,24.69,31.27,48.23,178.76,123.28
adani-ports,2008,35.4,48.7,250.04,87.96,87.11,13.86,15.81
adani-ports,2009,13.92,21.31,12.74,13.38,43.54,116.06,33.89
adani-ports,2010,28.22,36.5,18.44,23.78,26.26,52.03,48.91
adani-ports,2011,-7.38,-49.38,23.1,5.85,39.86,40.68,21.65
adani-ports,2012,88.73,221.49,21.6,54.85,30.48,19.38,2.25
adani-ports,2013,45.21,51.81,28.39,38.54,47.96,49.01,6.4
adani-ports,2014,0.15,5.99,39.26,14.51,7.36,14.94,16.92
adani-ports,2015,26.24,18.6,20.0,23.45,-7.25,8.28,24.76
adani-ports,2016,20.26,36.48,21.09,20.62,31.58,35.79,-14.27
adani-ports,2017,26.96,44.04,23.72,26.08,15.02,4.59,35.0
adani-ports,2018,0.72,0.98,8.5,4.04,14.72,-22.33,4.27
adani-ports,2019,19.48,24.29,12.17,16.14,-25.45,9.54,33.31
adani-ports,2020,18.7,10.55,-3.08,9.25,-67.89,-26.67,-1.38
adani-ports,2021,15.07,21.82,9.82,13.02,237.28,-0.33,-4.04
adani-ports,2022,30.89,36.45,22.03,27.51,-79.93,-84.57,-0.98
adani-ports,2023,6.1,6.05,8.03,6.77,-310.96,-261.12,-9.89
adani-ports,2024,4.65,5.15,2.31,3.8,-399.72,-462.59,37.92
adani-ports,2025,4.9,3.55,3.73,4.48,25.84,41.35,46.16
adani-ports,2026,-7.75,-6.98,103.28,31.33,-1.29,-27.04,9.18
allcargo,2004,,,,,,,
allcargo,2005,3.34,-10.63,153.03,49.67,,,
allcargo,2006,11.1,-53.83,703.37,374.47,,,-209.27
allcargo,2006,23.78,391.92,-50.52,-42.28,,,0.0
allcargo,2006,-19.21,-79.67,102.12,73.26,,,-265.51
allcargo,2006,23.78,391.92,-50.52,-42.28,,,0.0
allcargo,2007,63.29,8.21,139.72,122.92,,,170.13
allcargo,2008,263.31,746.02,22.0,69.99,,,-46.27
allcargo,2009,-24.54,-47.01,69.59,27.92,,,114.17
allcargo,2010,106.99,126.21,23.75,42.07,,,-11.45
allcargo,2012,77.87,80.35,16.6,36.23,,,114.59
allcargo,2013,-0.56,-44.7,3.07,1.54,,,-12.04
allcargo,2014,-13.19,-24.86,3.47,-3.39,,,-23.52
allcargo,2015,-20.4,22.43,5.29,-4.21,,,11.45
allcargo,2016,-17.7,-66.23,6.36,-1.03,,,0.57
allcargo,2017,23.34,344.23,-1.42,4.91,,,-9.15
allcargo,2018,-11.01,-27.91,-1.9,-4.64,,,-12.05
allcargo,2019,49.14,72.17,1.83,15.1,,,-9.23
allcargo,2020,83.27,100.36,9.77,36.48,,,44.96
allcargo,2021,9.56,-37.54,9.32,9.44,,,-17.69
allcargo,2022,1.91,40.5,18.98,10.64,,,-76.16
allcargo,2023,-51.67,-73.62,-46.17,-48.65,,,761.18
allcargo,2024,42.85,166.2,19.52,29.4,,,-144.63
allcargo,2025,5.61,11.34,-10.41,-2.92,,,-175.89
allcargo,2026,1.73,-82.44,-48.16,-22.79,,,161.12
allcargo (1),2004,,,,,,,
allcargo (1),2005,,,,,,,
allcargo (1),2006,,,,,,,-209.27
allcargo (1),2006,,,,,,,-265.51
allcargo (1),2007,,,,,,,170.13
allcargo (1),2008,,,,,,,-46.27
allcargo (1),2009,,,,,,,114.17
allcargo (1),2010,,,,,,,-11.45
allcargo (1),2012,,,,,,,114.59
allcargo (1),2013,,,,,,,-12.04
allcargo (1),2014,,,,,,,-23.52
allcargo (1),2015,,,,,,,11.45
allcargo (1),2016,,,,,,,0.57
allcargo (1),2017,,,,,,,-9.15
allcargo (1),2018,,,,,,,-12.05
allcargo (1),2019,,,,,,,-9.23
allcargo (1),2020,,,,,,,44.96
allcargo (1),2021,,,,,,,-17.69
allcargo (1),2022,,,,,,,-76.16
allcargo (1),2023,,,,,,,761.18
allcargo (1),2024,,,,,,,-144.63
allcargo (1),2025,,,,,,,-175.89
allcargo (1),2026,,,,,,,161.12
amber-enterpris,2013,,,,,,,
amber-enterpris,2014,5.79,-3.14,56.17,15.45,18.32,1.94,42.52
amber-enterpris,2015,19.91,21.03,12.54,18.0,42.17,33.69,28.85
amber-enterpris,2016,12.54,4.05,8.81,11.62,8.18,-19.22,105.56
amber-enterpris,2017,3.56,21.58,26.55,12.36,23.94,18.36,-17.08
amber-enterpris,2018,-25.34,-88.53,176.52,27.36,43.07,156.47,7.4
amber-enterpris,2019,80.75,286.82,10.45,39.26,8.36,49.25,-130.05
amber-enterpris,2020,29.92,74.81,10.82,20.98,9.86,27.48,-765.73
amber-enterpris,2021,13.23,4.54,41.2,25.22,-46.89,-56.28,-20.0
amber-enterpris,2022,58.92,203.8,4.49,32.61,-9.34,-6.71,-30.18
amber-enterpris,2023,33.2,29.1,3.79,22.0,48.51,1.7,30.44
amber-enterpris,2024,-8.07,0.01,3.57,-4.3,20.0,-17.09,309.35
amber-enterpris,2025,38.38,27.35,10.37,28.56,114.62,233.63,-29.75
amber-enterpris,2026,19.67,35.35,61.84,32.36,11.69,7.8,-102.52
anant-raj,2004,,,,,,,
anant-raj,2005,9.56,3.57,1.34,4.5,-55.33,-53.23,-264.39
anant-raj,2006,132.28,120.45,298.14,238.5,32.84,9582.76,-29.76
anant-raj,2007,1407.71,1501.07,1190.4,1229.93,156.18,334.37,-353.27
anant-raj,2008,-52.19,-82.46,155.85,89.13,-537.72,270.3,2337.27
anant-raj,2009,-5.43,92.72,11.93,10.55,-48.3,-19.0,-259.26
anant-raj,2010,-10.05,-15.19,6.69,6.8,-510.08,-35.17,-116.66
anant-raj,2011,395.43,799.45,5.51,26.58,943.53,-29.39,1898.84
anant-raj,2012,28.86,18.42,2.62,8.5,-29.09,-34.76,-88.26
anant-raj,2013,20.41,10.55,2.67,7.38,-11.41,-8.74,-11.26
anant-raj,2014,1.98,-21.19,2.08,2.05,-15.74,-11.41,-444.73
anant-raj,2015,-2.6,-2.17,2.91,1.27,72.4,41.55,1.3
anant-raj,2016,10.51,15.23,-0.45,2.69,-61.75,-54.06,-103.27
anant-raj,2017,17.18,31.51,2.79,7.23,30.7,4.87,1869.26
anant-raj,2018,34.16,42.56,0.39,11.77,-23.05,-28.83,13.73
anant-raj,2019,-29.49,-28.11,-40.65,-36.14,-35.85,-24.28,-467.07
anant-raj,2020,-2.76,-2.43,-0.61,-1.57,-16.49,-15.8,-99.97
anant-raj,2021,-2.09,12.2,0.96,-0.38,-14.01,-26.42,-91265.38
anant-raj,2022,-19.67,-36.19,5.8,-5.24,16.13,177.92,-280.12
anant-raj,2023,-11.99,-4.91,5.74,-0.78,125.25,90.77,-92.02
anant-raj,2024,-34.53,-33.1,23.29,4.43,-7.19,21.95,-147.1
anant-raj,2025,-26.37,-28.62,8.75,1.57,129.44,68.56,-723.36
anant-raj,2026,-17.97,-23.25,36.74,28.63,48.35,36.15,-281.7
apl-apollo,2004,,,,,,,
apl-apollo,2005,88.68,96.58,10.2,65.94,14.76,-33.96,
apl-apollo,2006,30.08,30.36,18.52,27.84,12.54,100.0,
apl-apollo,2007,57.11,67.97,73.21,59.98,229.43,382.14,62.65
apl-apollo,2008,52.74,49.11,291.24,106.67,126.8,125.78,169.73
apl-apollo,2009,58.55,102.87,202.54,104.9,-51.24,-99.61,-88.32
apl-apollo,2010,-8.93,-21.98,6.79,-0.47,125.18,28633.33,-361.45
apl-apollo,2011,61.99,54.01,14.21,34.4,79.66,47.22,131.68
apl-apollo,2012,24.47,16.74,18.93,21.75,27.2,13.32,51.12
apl-apollo,2013,49.39,54.84,12.89,31.9,30.38,20.51,-170.52
apl-apollo,2014,15.84,19.25,8.2,12.71,-2.56,-24.44,-417.97
apl-apollo,2015,0.8,0.06,5.01,2.46,-0.96,20.08,136.84
apl-apollo,2016,42.79,19.56,1.59,26.16,-16.57,-1.97,-77.67
apl-apollo,2017,42.52,3.19,133.49,72.09,163.42,186.47,946.25
apl-apollo,2018,20.39,45.85,11.7,16.56,5.25,27.59,-115.89
apl-apollo,2019,26.9,-7.52,11.28,20.3,22.66,12.16,-546.44
apl-apollo,2020,-17.23,-17.22,26.54,-0.12,-27.97,-9.0,13.97
apl-apollo,2021,5.54,-11.64,13.61,9.54,27.91,33.71,102.63
apl-apollo,2022,6.62,-10.37,20.45,13.72,79.47,86.71,-74.06
apl-apollo,2023,32.23,2.73,47.32,40.45,79.4,78.29,470.63
apl-apollo,2024,-12.03,-67.33,12.39,1.91,-12.86,-11.37,-19.08
apl-apollo,2025,38.52,413.84,6.83,18.57,-27.4,-26.03,-44.25
apl-apollo,2026,8.44,-4.32,12.78,10.9,74.36,63.03,190.69
astec-life,2004,,,,,,,
astec-life,2005,67.57,96.61,25.83,53.0,9.9,33.33,
astec-life,2006,67.67,228.66,54.3,69.42,95.95,155.88,
astec-life,2007,49.58,51.28,63.73,48.28,16.78,6.32,
astec-life,2008,48.26,42.83,49.08,48.5,143.5,114.59,
astec-life,2009,17.28,33.02,41.93,24.46,37.91,30.6,
astec-life,2010,-6.77,-16.2,187.61,57.82,19.7,27.39,
astec-life,2011,24.45,8.9,4.41,12.32,-51.13,-61.7,81.75
astec-life,2012,68.81,67.53,2.88,31.7,-20.84,-52.17,-46.58
astec-life,2013,18.67,-1.55,7.24,13.64,81.52,145.45,52.27
astec-life,2014,8.94,10.29,7.19,8.21,35.77,45.12,12.96
astec-life,2015,34.03,17.08,19.05,27.88,14.74,71.35,-26.37
astec-life,2016,15.19,36.79,-14.25,3.92,-135.09,-236.97,-24.71
astec-life,2017,-22.9,8.47,17.88,-10.02,-584.82,-194.36,107.58
astec-life,2018,24.46,-1.57,22.97,23.85,53.2,83.18,237.63
astec-life,2019,6.23,41.19,19.31,11.61,-1.99,2.06,-76.3
astec-life,2020,25.92,-43.81,21.72,24.08,8.6,33.01,999.54
astec-life,2021,13.37,89.47,25.26,18.49,38.42,36.28,-104.78
astec-life,2022,35.63,49.37,28.27,32.28,39.49,38.85,-390.45
astec-life,2023,11.85,22.12,5.76,9.16,-64.44,-71.59,217.47
astec-life,2024,8.11,44.76,-11.97,-0.48,-199.22,-284.13,-86.37
astec-life,2025,6.75,12.28,-36.51,-9.62,160.47,186.89,-182.82
astec-life,2026,-14.7,-19.04,66.56,6.91,-53.09,-39.91,860.55
astral-ltd,2004,,,,,,,
astral-ltd,2005,42.32,46.98,65.68,49.03,-7.93,-15.81,
astral-ltd,2006,49.97,41.94,72.45,63.75,49.04,75.55,
astral-ltd,2007,65.37,50.46,338.7,149.46,77.05,126.62,-92.33
astral-ltd,2008,40.92,31.49,18.21,27.65,55.39,87.38,3139.13
astral-ltd,2009,53.83,94.32,16.12,33.42,30.46,-16.87,-188.19
astral-ltd,2010,37.05,-35.17,27.4,32.5,46.38,97.53,-488.43
astral-ltd,2011,24.5,-22.95,25.94,25.16,38.31,19.84,80.72
astral-ltd,2012,62.9,104.14,24.74,45.51,51.2,18.34,82.33
astral-ltd,2013,3.15,-0.77,30.31,13.76,37.28,49.74,-18.14
astral-ltd,2014,23.37,49.16,30.16,26.4,37.67,29.72,18.61
astral-ltd,2015,19.09,18.82,94.76,53.95,-9.58,-10.84,6.36
astral-ltd,2016,11.61,7.15,20.54,16.82,10.11,5.27,123.45
astral-ltd,2017,-1.89,3.14,13.16,7.16,28.32,47.14,-55.21
astral-ltd,2018,0.44,-40.61,13.46,8.71,13.14,11.62,166.16
astral-ltd,2019,30.78,99.43,21.62,24.71,25.54,18.85,24.78
astral-ltd,2020,-3.33,-39.09,15.4,8.78,18.12,41.96,17.59
astral-ltd,2021,-5.41,-90.01,23.53,14.44,53.62,62.8,51.65
astral-ltd,2022,30.26,221.35,21.96,24.12,23.97,23.83,-8.43
astral-ltd,2023,20.85,-92.66,33.54,30.08,15.58,10.65,3.23
astral-ltd,2024,19.16,1328.57,16.81,17.41,17.48,22.88,62.06
astral-ltd,2025,6.98,161.33,14.89,12.86,3.88,2.89,-21.3
astral-ltd,2026,27.57,-20.66,14.22,17.47,9.72,7.89,74.75
avanti-feeds,2004,,,,,,,
avanti-feeds,2005,37.29,54.23,13.45,24.33,-4.03,-13.04,-137.92
avanti-feeds,2006,2.47,54.02,10.55,6.49,-58.06,-16.6,-210.29
avanti-feeds,2007,2.6,9.78,0.74,1.63,-29.37,-78.7,-49.66
avanti-feeds,2008,-25.89,-27.43,0.17,-12.58,-56.42,-47.31,368.12
avanti-feeds,2009,1.39,-6.73,-1.67,-0.4,-286.8,-898.86,-45.63
avanti-feeds,2010,-4.13,-13.57,-1.72,-2.73,53.8,-82.93,-57.92
avanti-feeds,2011,45.77,49.83,3.62,21.14,-198.06,-385.0,-301.53
avanti-feeds,2012,21.8,-0.29,34.02,28.67,634.23,720.76,-747.85
avanti-feeds,2013,40.46,22.81,25.52,31.86,10.28,7.55,-140.05
avanti-feeds,2014,79.17,-8.83,44.89,62.19,133.64,131.04,-376.74
avanti-feeds,2015,-1.6,3.2,49.74,21.12,64.36,67.14,57.78
avanti-feeds,2016,6.39,-84.54,44.99,27.51,25.1,33.18,94.44
avanti-feeds,2017,25.98,-84.53,52.05,42.2,31.88,26.51,65.28
avanti-feeds,2018,14.49,-100.0,63.59,47.15,108.93,111.25,13.68
avanti-feeds,2019,-35.01,,13.26,0.69,-50.86,-46.14,-62.04
avanti-feeds,2020,18.04,,12.92,13.78,8.43,27.96,-36.87
avanti-feeds,2021,4.94,,25.32,21.76,7.37,6.78,332.69
avanti-feeds,2022,21.59,,7.51,9.62,-39.77,-34.75,-150.94
avanti-feeds,2023,-6.78,,9.12,6.47,19.43,16.85,-266.55
avanti-feeds,2024,5.58,,12.57,11.55,23.43,32.31,-38.69
avanti-feeds,2025,25.99,,20.11,20.92,74.96,59.81,279.55
avanti-feeds,2026,10.34,,17.47,16.45,4.43,9.25,-42.83
bajaj-finance,2004,,,,,,,
bajaj-finance,2005,62.31,97.85,17.89,51.26,36.4,45.09,-69.46
bajaj-finance,2006,50.42,49.75,75.04,56.07,16.1,-62.33,-1948.38
bajaj-finance,2007,47.38,58.85,106.31,59.61,61.94,126.0,5.84
bajaj-finance,2008,9.5,2.79,6.77,8.57,-35.42,-56.8,-106.82
bajaj-finance,2009,6.15,-3.13,2.38,5.11,93.61,64.77,-511.86
bajaj-finance,2010,24.32,100.24,5.86,19.35,75.12,163.67,1078.68
bajaj-finance,2011,95.1,64.96,17.84,76.64,167.23,176.21,82.21
bajaj-finance,2012,52.06,72.88,49.74,51.69,84.23,64.58,60.74
bajaj-finance,2013,32.69,4.14,65.57,37.86,53.76,45.49,-28.51
bajaj-finance,2014,42.71,66.44,18.53,38.14,27.33,21.6,86.37
bajaj-finance,2015,35.8,41.61,20.27,33.28,36.08,24.88,16.06
bajaj-finance,2016,39.34,63.92,54.73,41.59,34.84,42.39,38.63
bajaj-finance,2017,38.69,13.54,29.27,37.18,37.04,43.65,6.6
bajaj-finance,2018,23.98,46.45,72.06,31.22,30.4,44.11,63.72
bajaj-finance,2019,32.52,40.26,18.44,29.74,39.09,46.99,-7.7
bajaj-finance,2020,19.4,20.68,62.61,27.19,22.52,25.47,-10.56
bajaj-finance,2021,-3.57,-4.16,12.97,0.24,-12.69,-18.96,-130.56
bajaj-finance,2022,23.01,23.21,17.02,21.45,26.24,60.55,-651.79
bajaj-finance,2023,31.02,31.41,22.44,28.87,43.39,62.03,14.86
bajaj-finance,2024,36.1,36.3,39.84,36.99,33.37,22.88,98.81
bajaj-finance,2025,24.61,24.88,22.2,24.02,29.73,31.77,-6.15
bajaj-finance,2026,17.58,17.3,17.19,17.49,12.51,6.86,-19.89
balrampur-chini,2004,,,,,,,
balrampur-chini,2005,-6.88,-27.61,78.56,15.09,114.13,106.62,2986.65
balrampur-chini,2006,34.96,41.67,84.13,54.57,91.5,133.07,372.63
balrampur-chini,2007,84.56,134.96,-4.6,42.19,-97.53,-114.27,-82.45
balrampur-chini,2008,0.27,5.73,17.46,5.75,2004.82,-333.13,-37.37
balrampur-chini,2009,-14.15,-28.52,15.78,-3.55,70.03,133.44,947.94
balrampur-chini,2011,58.72,69.16,9.71,37.88,0.34,-27.42,-196.41
balrampur-chini,2012,18.55,4.35,-5.53,10.41,-63.6,-95.97,-131.52
balrampur-chini,2013,-2.92,-13.36,8.61,0.42,144.51,2347.58,184.75
balrampur-chini,2014,1.22,-9.32,-7.9,-1.63,-66.44,-97.75,-16.75
balrampur-chini,2015,-5.64,19.63,-7.31,-6.13,-93.45,-1685.99,-116.5
balrampur-chini,2016,-11.1,-7.55,9.04,-5.27,1765.11,-273.67,-292.74
balrampur-chini,2017,-0.45,14.15,25.15,8.08,498.5,490.75,135.57
balrampur-chini,2018,-15.45,-48.51,2.97,-8.34,-53.39,-62.67,240.66
balrampur-chini,2019,24.04,91.04,31.23,27.15,66.43,158.07,-144.33
balrampur-chini,2020,-7.63,-16.43,13.81,1.96,-2.14,-10.75,-262.45
balrampur-chini,2021,-15.96,-18.89,8.16,-3.92,3.69,-7.76,-23.62
balrampur-chini,2022,-13.98,6.61,7.58,-1.86,6.08,9.56,7.04
balrampur-chini,2023,47.01,55.31,4.25,20.67,-40.05,-46.46,-34.8
balrampur-chini,2024,4.8,6.9,14.06,9.73,61.9,57.23,-60.74
balrampur-chini,2025,24.53,30.77,9.19,16.05,-14.22,-20.62,139.08
balrampur-chini,2026,28.19,20.68,8.69,18.04,6.09,0.97,41.0
bank-of-baroda,2011,,,,,,,
bank-of-baroda,2012,,,,24.81,,,22.31
bank-of-baroda,2013,,,,22.31,,,58.21
bank-of-baroda,2014,,,,20.54,,,79.95
bank-of-baroda,2015,,,,8.41,,,-56.06
bank-of-baroda,2016,,,,-6.1,,,-154.61
bank-of-baroda,2017,,,,3.5,,,-274.7
bank-of-baroda,2018,,,,3.62,,,-455.29
bank-of-baroda,2019,,,,8.47,,,-93.26
bank-of-baroda,2020,,,,48.26,,,-122.56
bank-of-baroda,2021,,,,-0.22,,,-595.87
bank-of-baroda,2022,,,,10.61,,,-263.34
bank-of-baroda,2023,,,,14.13,,,-361.19
bank-of-baroda,2024,,,,8.72,,,-72.25
bank-of-baroda,2025,,,,12.33,,,-613.47
bank-of-baroda,2026,,,,12.8,,,10.55
best-agrolife,2011,,,,,,,
best-agrolife,2012,186.67,,0.0,8.81,-100.0,-100.0,
best-agrolife,2013,451.16,,0.33,56.36,,,
best-agrolife,2014,28.27,,0.66,12.57,-300.0,100.0,
best-agrolife,2015,-99.01,,0.98,-48.77,-25.0,50.0,3900.0
best-agrolife,2016,3600.0,,0.0,34.94,466.67,33.33,-160.0
best-agrolife,2017,3323.42,,1476.05,1959.38,-629.41,-450.0,5145.83
best-agrolife,2018,-20.21,,-4.87,-5.92,-442.22,-250.0,179.67
best-agrolife,2019,904.49,359.59,283.47,491.16,-433.77,2133.33,-271.17
best-agrolife,2020,-17.35,-18.55,-52.84,-30.42,21.6,76.12,-73.8
best-agrolife,2021,-4.18,-19.35,54.76,10.53,285.84,348.79,-36.8
best-agrolife,2022,64.44,421.09,140.84,91.16,151.42,134.88,-280.56
best-agrolife,2023,43.34,112.64,15.11,30.9,-33.3,-45.93,610.38
best-agrolife,2024,39.08,22.84,1.8,24.64,-31.02,-71.41,-73.01
best-agrolife,2025,-32.83,-27.67,21.26,-15.71,71.72,230.39,-479.36
best-agrolife,2026,-18.54,-18.59,5.7,-7.51,-34.72,-31.66,-6.06
bharat-rasayan,2004,,,,,,,
bharat-rasayan,2005,28.06,28.38,3.88,8.18,63.79,68.33,-25.24
bharat-rasayan,2006,60.75,40.63,5.73,17.31,-45.79,53.47,-255.67
bharat-rasayan,2007,-24.07,-18.41,3.08,-4.75,26.21,-43.23,-153.97
bharat-rasayan,2008,76.14,43.67,13.57,27.96,281.54,403.41,-162.58
bharat-rasayan,2009,68.06,62.32,13.74,30.94,72.38,15.12,9.31
bharat-rasayan,2010,-33.17,-70.26,12.92,-5.8,-13.33,13.92,-934.08
bharat-rasayan,2011,21.65,124.07,1.72,7.47,3.64,1.38,-45.86
bharat-rasayan,2012,240.18,361.63,21.06,92.56,80.08,66.89,24.53
bharat-rasayan,2013,156.38,266.45,18.11,97.82,29.72,-2.44,-242.42
bharat-rasayan,2014,21.88,-0.04,31.42,24.29,144.2,110.11,-259.69
bharat-rasayan,2015,-1.9,-1.42,37.67,8.69,45.24,57.57,109.36
bharat-rasayan,2016,-18.79,-21.54,29.4,-2.46,-0.31,6.71,-21.74
bharat-rasayan,2017,-5.92,3.56,37.1,13.41,47.74,60.95,-66.23
bharat-rasayan,2018,21.75,11.88,48.6,36.33,53.28,80.29,82.57
bharat-rasayan,2019,68.84,92.45,37.07,50.03,17.27,13.44,-281.6
bharat-rasayan,2020,-45.87,-62.0,37.99,-0.51,21.11,41.36,-601.87
bharat-rasayan,2021,-3.81,-37.73,29.03,20.83,4.17,4.33,-35.19
bharat-rasayan,2022,77.07,197.02,6.03,20.15,6.36,7.7,-138.46
bharat-rasayan,2023,-43.62,-83.91,16.78,-0.91,-26.24,-26.14,-425.92
bharat-rasayan,2024,16.23,188.01,8.96,10.17,-45.13,-37.62,-80.75
bharat-rasayan,2025,32.72,5.9,12.69,16.21,61.68,53.29,318.74
bharat-rasayan,2026,-43.28,-98.56,12.83,1.56,4.09,14.25,-23.25
blue-dart,2004,,,,,,,
blue-dart,2005,-12.28,-35.71,53.07,20.67,43.18,63.94,24.55
blue-dart,2005,0.0,0.0,0.0,0.0,0.0,0.0,14.72
blue-dart,2005,0.0,0.0,0.0,0.0,-5.67,-10.07,-12.83
blue-dart,2005,0.0,0.0,0.0,0.0,0.0,0.0,14.72
blue-dart,2005,13.55,28.18,-19.41,-7.53,6.01,11.19,-12.83
blue-dart,2005,0.0,0.0,0.0,0.0,0.0,0.0,14.72
blue-dart,2005,0.0,0.0,0.0,0.0,-5.67,-10.07,-12.83
blue-dart,2005,0.0,0.0,0.0,0.0,0.0,0.0,14.72
blue-dart,2006,-21.68,-81.08,53.18,20.05,29.96,28.66,13.17
blue-dart,2007,12.89,-100.0,26.81,22.79,32.65,39.22,31.37
blue-dart,2008,5.62,,23.5,18.75,2.99,10.61,-33.67
blue-dart,2009,6.92,,14.78,12.93,-20.75,-21.51,-27.29
blue-dart,2010,19.28,,20.36,20.12,57.49,55.44,-6.22
blue-dart,2011,15.92,,21.56,20.31,16.28,29.53,182.15
blue-dart,2013,118.1,,-1.28,24.25,46.97,54.34,73.3
blue-dart,2014,-24.33,,-2.22,-10.52,-37.27,-34.06,-34.29
blue-dart,2015,129.17,,-53.23,4.67,23.97,1.96,28.1
blue-dart,2016,0.96,0.0,58.4,18.48,61.12,49.78,76.07
blue-dart,2017,6.77,0.0,10.86,8.44,-24.1,-26.53,-47.06
blue-dart,2018,-17.09,-50.0,19.08,-2.01,-2.57,1.81,46.84
blue-dart,2019,16.61,-11.99,7.01,11.74,-41.59,-38.35,-25.2
blue-dart,2020,38.56,-64.09,-12.23,13.92,-123.17,-143.71,-40.34
blue-dart,2021,18.38,-57.14,16.4,17.64,-616.37,-351.53,379.23
blue-dart,2022,-6.81,-100.0,40.59,10.72,232.53,290.86,29.81
blue-dart,2023,-0.55,,31.99,14.73,-6.72,-2.66,-45.21
blue-dart,2024,5.93,,14.14,10.37,-29.08,-21.23,39.78
blue-dart,2025,23.89,,12.84,17.72,-13.28,-15.25,9.55
blue-dart,2026,19.74,,12.8,16.03,-2.05,-2.02,-29.06
blue-star,2004,,,,,,,
blue-star,2005,47.86,179.25,14.3,35.13,47.4,20.31,-25.57
blue-star,2006,35.07,103.51,16.33,29.06,64.27,24.87,19.69
blue-star,2007,26.99,17.37,23.26,25.91,31.23,45.56,227.45
blue-star,2008,69.54,-58.97,23.71,56.56,124.84,144.58,122.52
blue-star,2009,9.1,-35.41,39.25,15.84,17.97,3.56,26.87
blue-star,2010,11.62,-62.16,33.79,17.59,-0.1,17.31,-31.96
blue-star,2011,51.17,4585.11,16.64,40.6,-8.64,-26.71,-164.93
blue-star,2012,-6.46,-17.97,-17.37,-9.23,-119.56,-157.52,-447.35
blue-star,2013,1.82,8.58,4.32,2.4,-255.56,-158.04,-84.64
blue-star,2014,6.23,15.62,7.12,6.44,7.41,46.7,110.25
blue-star,2015,-8.09,-22.97,18.03,-1.9,147.99,100.96,128.5
blue-star,2016,10.07,-13.93,7.78,17.29,-4.39,-19.51,39.74
blue-star,2017,-1.35,-47.76,36.23,1.88,-1.58,-8.8,-51.98
blue-star,2018,32.22,113.93,3.32,22.1,13.19,18.08,-122.49
blue-star,2019,1.25,14.15,1.34,1.28,7.48,-7.88,-624.72
blue-star,2020,8.14,34.71,-11.58,2.29,-37.22,-0.76,161.69
blue-star,2021,3.92,17.9,8.17,5.01,-17.8,-45.45,-22.59
blue-star,2022,18.49,-6.71,9.71,16.17,102.81,93.75,-81.41
blue-star,2023,15.99,-11.6,26.79,18.68,152.51,186.97,437.41
blue-star,2024,3.89,-50.67,96.45,28.56,-4.99,0.25,-19.89
blue-star,2025,32.7,35.43,13.66,24.95,26.24,31.95,168.28
blue-star,2026,0.89,131.14,7.21,3.23,-15.0,-20.58,-93.74
brigade-ent,2004,,,,,,,
brigade-ent,2005,203.97,251.69,66.31,175.68,100.0,63.7,
brigade-ent,2006,20.13,-6.18,82.6,27.88,45.75,138.97,
brigade-ent,2007,55.54,134.3,87.29,61.16,138.05,77.4,-216.93
brigade-ent,2008,18.09,23.85,530.24,123.52,10.38,37.76,129.11
brigade-ent,2009,11.66,44.07,7.25,9.1,-45.43,-19.34,-36.72
brigade-ent,2010,28.59,52.76,3.06,14.02,35.86,-44.35,-216.69
brigade-ent,2011,30.6,-12.09,9.72,19.83,100.47,158.07,-58.54
brigade-ent,2012,18.83,20.47,3.34,11.51,-42.96,-51.3,467.44
brigade-ent,2013,3.36,16.71,3.92,3.61,43.89,10.6,-48.54
brigade-ent,2014,8.95,-19.53,5.37,7.38,30.83,39.77,213.35
brigade-ent,2015,33.5,-13.06,3.42,20.55,18.72,-22.05,-104.08
brigade-ent,2016,30.1,72.74,9.66,22.55,38.8,109.09,-1428.07
brigade-ent,2017,3.59,-3.19,17.35,8.14,14.29,12.03,94.37
brigade-ent,2018,13.25,64.41,37.41,21.92,2.92,10.09,-83.27
brigade-ent,2019,50.3,5.4,-0.9,29.59,24.63,29.75,231.61
brigade-ent,2020,-0.59,-7.11,10.25,2.76,-3.14,11.35,27.11
brigade-ent,2021,4.08,-2.15,9.19,5.77,-34.53,-44.57,43.72
brigade-ent,2022,-1.9,9.29,28.34,8.46,64.77,113.66,27.39
brigade-ent,2023,-0.33,-12.58,10.23,3.95,-2.73,24.65,-47.1
brigade-ent,2024,21.38,22.54,7.41,15.38,-11.12,-17.35,-140.11
brigade-ent,2025,22.89,-10.14,44.9,31.7,-5.01,43.09,-393.21
brigade-ent,2026,43.08,91.65,3.73,25.76,-37.61,-39.06,-314.71
brookfield-reit,2018,,,,,,,
brookfield-reit,2019,0.37,93.06,-4.59,3.07,0.6,-109.78,22.35
brookfield-reit,2020,0.76,5.94,-1.58,6.63,58.69,-196.0,4.85
brookfield-reit,2021,-98.24,-100.0,-429.3,55.71,-91.43,314.15,-100.26
brookfield-reit,2022,-96.19,,10.74,9.03,604.28,622.58,1841.91
brookfield-reit,2023,267.71,,-3.74,-3.59,-28.33,-25.12,5.0
brookfield-reit,2024,3875.31,,25.02,33.24,4.83,-11.93,-45.94
